dist_name,spec,n_events,prop_excitation_mean,alpha_mean,alpha_p_pos,a_0_mean,w_mean_pop_density,w_mean_med_inc_avg,w_mean_lep_density,w_mean_edu_hs_avg,w_mean_ndvi_mean_4yr,w_mean_RLD,w_mean_RMD,w_mean_RHD,w_mean_use_com,w_mean_use_civ,w_mean_I,w_mean_T,w_mean_GW,w_mean_vac_area,w_mean_landcare_area,w_mean_alloc_avg_d_cnt,w_mean_alloc_avg_s_cnt,w_mean_unique_device_ratio_aw,w_mean_betweenness_avg_w,w_mean_pagerank_avg_w,beta_mean,gamma_mean,loglik_mean,sigmax_2_mean,a_0_lo,a_0_hi,status,error,runtime_sec,offset_coef_mean,offset_coef_lo,offset_coef_hi,corrected_level_mean
Central,offset_fixed,13596,7.445991650456563e-05,0.1985272467136383,1.0,-1.6746647357940674,0.18342897295951843,-0.054861992597579956,0.04650634154677391,0.10694516450166702,-0.16453686356544495,-1.1015698909759521,-0.4974808096885681,0.06057218834757805,-0.26018184423446655,-1.763105869293213,-0.5616825819015503,0.36047568917274475,-0.23450973629951477,0.6355034112930298,-2.984957218170166,1.7206590175628662,-1.3739120960235596,-0.45286211371421814,-0.11492189019918442,-0.04035206511616707,0.0005975199746899307,1.2789928913116455,30576.126953125,0.2134123593568802,-1.9355970621109009,-1.4067102670669556,fit,,114.3,,,,-5.544377
Central,offset_free,13596,7.327036291826516e-05,0.2004377245903015,1.0,-1.4333603382110596,0.15300510823726654,-0.08024465292692184,0.08069275319576263,0.1636669933795929,-0.08725098520517349,-1.0107976198196411,-0.31293541193008423,0.013655105605721474,-0.2927994430065155,-2.641829490661621,-0.5142759680747986,0.6243061423301697,-0.4518042206764221,0.5793733596801758,-2.8779618740081787,1.3185640573501587,-1.2661266326904297,-0.2970081567764282,-0.11647840589284897,-0.04839065298438072,0.0005286913365125656,1.2021127939224243,30972.943359375,0.20835326611995697,-1.6820926666259766,-1.1705766916275024,fit,,111.7,0.4477594792842865,0.4133957326412201,0.4799443185329437,-5.544377
University Southwest,baseline,5469,0.00018728985742200166,0.20058096945285797,1.0,-1.4984370470046997,-0.15368564426898956,-0.10216841846704483,0.4254407584667206,0.20431073009967804,0.29859644174575806,-0.9754058718681335,0.03559152036905289,-0.2892507016658783,-0.808456540107727,-1.216693639755249,-1.7211599349975586,0.3332621157169342,1.3559205532073975,0.034355610609054565,-0.21753540635108948,0.6149815917015076,-0.7468375563621521,0.11745576560497284,0.21438555419445038,0.08824464678764343,0.0014114086516201496,1.2723628282546997,8423.146484375,0.2129402458667755,-1.929567813873291,-1.0557035207748413,fit,,20.8,,,,-5.715662
University Southwest,offset_fixed,5469,0.0001887739053927362,0.20373794436454773,1.0,-1.8839983940124512,-0.36207082867622375,-0.24590273201465607,0.5453256964683533,0.4063728153705597,0.7295625805854797,-1.4874587059020996,-0.38869592547416687,0.012106110341846943,-0.3493818938732147,-2.6648969650268555,-1.0855505466461182,0.5947067141532898,2.3314802646636963,0.18150527775287628,-0.30251818895339966,1.4298923015594482,-0.920464038848877,-0.27609455585479736,0.23030290007591248,0.1777108907699585,0.0013502538204193115,1.264886736869812,7968.720703125,0.21168337762355804,-2.3246307373046875,-1.4315075874328613,fit,,18.6,,,,-5.715662
University Southwest,offset_free,5469,0.00018143751367460936,0.20272478461265564,1.0,-1.5188841819763184,-0.16047076880931854,-0.10614242404699326,0.43325275182724,0.21847771108150482,0.33224213123321533,-1.0353033542633057,0.002542782574892044,-0.2708384394645691,-0.770927906036377,-1.3119665384292603,-1.6243282556533813,0.34829607605934143,1.4160643815994263,0.043783798813819885,-0.22342824935913086,0.6771278977394104,-0.7317555546760559,0.0920938029885292,0.21795611083507538,0.09775832295417786,0.001235920935869217,1.197616696357727,8424.9521484375,0.20781759917736053,-1.9291743040084839,-1.0854153633117676,fit,,18.3,0.07360070943832397,0.026856226846575737,0.12098921090364456,-5.715662
Upper Northwest,baseline,5127,0.7236363291740417,0.9966451525688171,1.0,-0.20428508520126343,0.03244983032345772,-0.14720956981182098,-1.0306611061096191,0.1420416235923767,-0.06596451997756958,0.2237669676542282,0.17146573960781097,-0.3240736424922943,-0.2927301526069641,-0.08956347405910492,-0.18343611061573029,-1.949280858039856,0.6269533634185791,0.06513305008411407,0.03793112561106682,1.3763800859451294,-0.8926008939743042,-0.10221254080533981,-0.08448047190904617,-0.14084160327911377,24.967666625976562,7.9241485595703125,19347.388671875,7.449127588188276e-05,-0.7057714462280273,0.3106975555419922,fit,,21.2,,,,-5.982321
Upper Northwest,offset_fixed,5127,0.7242507338523865,0.9966543316841125,1.0,-0.04077066481113434,-0.35100847482681274,-0.07824839651584625,0.16830971837043762,0.09515520930290222,-0.09496160596609116,0.037535130977630615,0.05357366427779198,-0.20792067050933838,-0.39902740716934204,-0.11297253519296646,-0.4937188923358917,-1.6793891191482544,0.12744013965129852,0.09471819549798965,-0.05347207188606262,0.9522199034690857,1.6981298923492432,-0.2524280250072479,-0.062382519245147705,-0.1468331515789032,24.984975814819336,7.934664249420166,19294.85546875,7.459160406142473e-05,-0.5430576801300049,0.475034236907959,fit,,17.0,,,,-5.982321
Upper Northwest,offset_free,5127,0.7215486764907837,0.9967673420906067,1.0,-0.13346944749355316,-0.10104706138372421,-0.13128623366355896,-0.618878185749054,0.12855806946754456,-0.0933571308851242,0.15611065924167633,0.11690991371870041,-0.27060630917549133,-0.34372755885124207,-0.0976431667804718,-0.29587313532829285,-1.8346437215805054,0.42859208583831787,0.08460243791341782,0.009914275258779526,1.16559898853302,0.06111342832446098,-0.1481911987066269,-0.07475034892559052,-0.13656482100486755,24.982542037963867,7.9473490715026855,19368.412109375,7.481006468879059e-05,-0.6211432218551636,0.38175439834594727,fit,,17.8,0.3660414218902588,0.2798677980899811,0.45053550601005554,-5.982321
Upper North,baseline,9600,0.00010628430754877627,0.1988425850868225,1.0,0.1106075644493103,0.07015778869390488,0.17367440462112427,-0.05621543526649475,-0.183759406208992,0.638160765171051,-1.3680075407028198,-0.05769994854927063,-0.3760360777378082,0.02366608940064907,-3.0374042987823486,0.18014875054359436,1.3691396713256836,-1.182388424873352,-0.04562361538410187,-0.1597406268119812,-2.8639070987701416,2.6427457332611084,0.27323946356773376,0.11979560554027557,0.020150093361735344,0.0008495866204611957,1.279269814491272,20394.296875,0.2115531712770462,-0.24455630779266357,0.47532981634140015,fit,,49.8,,,,-5.01319
Upper North,offset_fixed,9600,0.00010624739661579952,0.19928249716758728,1.0,-0.0462358258664608,0.01333148218691349,0.2461858093738556,0.023924680426716805,-0.16493254899978638,0.686855673789978,-1.939010500907898,-0.28418681025505066,-0.2842056453227997,0.06310709565877914,-3.614922285079956,0.004149481654167175,1.8624448776245117,-1.3388859033584595,-0.02887645736336708,-0.20219649374485016,-1.9648804664611816,2.8715996742248535,0.20896874368190765,0.18205147981643677,0.036332037299871445,0.0008430812158621848,1.2785025835037231,20121.876953125,0.21141405403614044,-0.4031500816345215,0.3202839195728302,fit,,30.2,,,,-5.01319
Upper North,offset_free,9600,0.0001029621489578858,0.20023104548454285,1.0,0.12650565803050995,0.09727948904037476,0.1480647772550583,-0.08006666600704193,-0.18531927466392517,0.6285566091537476,-1.2190648317337036,0.006684028077870607,-0.39659687876701355,0.011955234222114086,-2.895669460296631,0.24884669482707977,1.2792809009552002,-1.1426787376403809,-0.05487363040447235,-0.14549323916435242,-3.1475605964660645,2.587341785430908,0.30239471793174744,0.11001517623662949,0.019285226240754128,0.0007554761250503361,1.205283284187317,20408.1484375,0.20681968331336975,-0.20600157976150513,0.47779715061187744,fit,,36.0,-0.2972305417060852,-0.3988136649131775,-0.20131470263004303,-5.01319
South,baseline,13742,0.7781316041946411,0.999346911907196,1.0,-0.9422670602798462,0.07750065624713898,-0.19955593347549438,-0.025860682129859924,-0.048669952899217606,-0.04237077012658119,0.13528014719486237,0.12205243855714798,-0.019788313657045364,0.0526188500225544,-0.3502543270587921,-0.3289031386375427,0.05629495903849602,-0.4249774217605591,1.0070880651474,0.21096286177635193,0.33164095878601074,-0.5964963436126709,-0.005721824709326029,0.005053299479186535,-0.026707781478762627,43.19965744018555,13.342589378356934,65635.6796875,7.35216453904286e-05,-1.4587703943252563,-0.41186338663101196,fit,,108.2,,,,-5.302851
South,offset_fixed,13742,7.392488623736426e-05,0.19754330813884735,1.0,-1.1364468336105347,-0.10759057104587555,-0.2370472401380539,-0.04047943279147148,-0.22052355110645294,0.08028232306241989,0.3887908160686493,-0.22927626967430115,-0.18855971097946167,0.11090284585952759,-2.1794168949127197,-0.30424726009368896,-0.22262361645698547,-0.2628895044326782,1.3085261583328247,0.24499106407165527,1.1484589576721191,-0.5651921033859253,-0.2617805302143097,0.05768236145377159,0.06353001296520233,0.0005662016337737441,1.279757022857666,32626.859375,0.2156950682401657,-1.4212007522583008,-0.8440293073654175,fit,,92.5,,,,-5.302851
