NAME,LISTNAME,MAPNAME,Shape_Leng,Shape_Area,n_events,area_km2,rate_per_km2
CRESTMONT_FARMS,Crestmont Farms,Crestmont Farms,9263.538528,3624101.55692,8,0.3364327158913977,23.778900273724993
ACADEMY_GARDENS,Academy Gardens,Academy Gardens,18120.0398063,15080135.9799,22,1.3999208704303188,15.715173953537436
PENNYPACK,Pennypack,Pennypack,24887.2118247,34685420.1413,42,3.219930100365868,13.043761414332476
ASTON_WOODBRIDGE,Aston-Woodbridge,Aston-Woodbridge,17216.8671936,14147909.4454,22,1.3133822337865477,16.750645344556613
PENNYPACK_WOODS,Pennypack Woods,Pennypack Woods,19811.0332176,13509409.2188,14,1.2541351452061942,11.163071263502658
WINCHESTER_PARK,Winchester Park,Winchester Park,11984.696725,6558582.960289999,13,0.6088173737568298,21.35287289812525
TORRESDALE,Torresdale,Torresdale,35702.4924982,65136117.6726,55,6.046691085892878,9.095883884049698
LEXINGTON_PARK,Lexington Park,Lexington Park,15293.6136901,11359376.6636,116,1.0545143804768005,110.0032414423314
RHAWNHURST,Rhawnhurst,Rhawnhurst,37982.4400094,56786859.4536,206,5.271650267011103,39.07694736297387
FOX_CHASE,Fox Chase,Fox Chase,35027.5171787,54942234.8065,145,5.100425417466069,28.429001138504468
BURHOLME,Burholme,Burholme,18179.2233406,10450451.3157,30,0.9701396919425332,30.923381703855764
OXFORD_CIRCLE,Oxford Circle,Oxford Circle,31820.6223266,59779885.4576,383,5.5494778769508075,69.01550172688346
SUMMERDALE,Summerdale,Summerdale,12065.377599,7236096.760929999,113,0.6717381322963919,168.2203146837894
CRESCENTVILLE,Crescentville,Crescentville,18197.1391982,16230908.784,15,1.5067430591310806,9.955247451845112
LAWNDALE,Lawndale,Lawndale,32758.368098,38060419.8366,252,3.533220962677899,71.32302300420072
NORTHWOOD,Northwood,Northwood,27334.1220893,28028130.7406,163,2.6018895356078096,62.646779492090424
HOLMESBURG,Holmesburg,Holmesburg,40376.27753530001,84064467.3235,402,7.803832378578238,51.513151551473925
FRANKFORD,Frankford,Frankford,26646.6063939,41352420.6523,756,3.838788565481822,196.93712928029194
MAYFAIR,Mayfair,Mayfair,38261.57520630001,52171748.5331,612,4.843186970531866,126.36307533111649
TACONY,Tacony,Tacony,32404.9977888,49925598.6705,444,4.634655853374645,95.79999336449308
WISSINOMING,Wissinoming,Wissinoming,29226.4744992,42361155.0398,390,3.9324337680199366,99.17522404868708
ANDORRA,Andorra,Andorra,26469.7742884,24518134.0115,9,2.276097077843506,3.9541371445048705
UPPER_ROXBOROUGH,Upper Roxborough,Upper Roxborough,50882.0814075,68691431.6958,47,6.384625478102859,7.361434145384778
DEARNLEY_PARK,Dearnley Park,Dearnley Park,17330.8420224,16215770.7346,23,1.5053527230785673,15.278811169891899
ROXBOROUGH_PARK,Roxborough Park,Roxborough Park,13388.15641,9697307.65918,11,0.900224856244672,12.219169381622041
GERMANY_HILL,Germany Hill,Germany Hill,13041.9390872,6949968.42772,20,0.6406983269753612,31.21593916815257
WISSAHICKON_HILLS,Wissahickon Hills,Wissahickon Hills,7113.02864233,3048525.57286,23,0.28138449870902277,81.73868889552476
ROXBOROUGH,Roxborough,Roxborough,23054.7098435,22416604.1318,124,2.0847275600285853,59.48019414023564
MANAYUNK,Manayunk,Manayunk,16157.0546719,14712063.374,231,1.3672726254515837,168.94948066681667
WISSAHICKON,Wissahickon,Wissahickon,17714.1859718,9064239.11735,51,0.8414494579014202,60.60970094055832
GERMANTOWN_EAST,"Germantown, East",East Germantown,22052.7346609,25689796.5206,528,2.384840460834703,221.39845774639284
