X,Y,T,A
486372.3298232146,4419367.048685012,96.0,96.0
486361.60108679207,4419370.834546486,96.0,96.0
486362.1066816525,4419366.698416942,96.0,96.0
486922.99859745015,4418993.454589009,96.0,96.0
486340.1637006453,4419187.662290451,102.0,102.0
486372.3298232146,4419367.048685012,96.0,96.0
486451.5329323405,4418883.711708928,96.0,96.0
486484.56568384357,4419240.056369378,97.0,97.0
486484.56568384357,4419240.056369378,97.0,97.0
486484.56568384357,4419240.056369378,97.0,97.0
486568.98951682396,4418913.496387448,97.0,97.0
486212.16900870483,4419375.511782606,103.0,103.0
486376.18732192676,4419377.966742155,103.0,103.0
486490.1772017364,4419260.981453783,103.0,103.0
486451.5329323405,4418883.711708928,97.0,97.0
486169.09208532027,4418980.744006427,97.0,97.0
486656.18250136444,4418896.269707485,110.0,110.0
487068.42002894497,4419061.770693822,109.0,109.0
487045.2947857596,4419065.4688350335,110.0,110.0
486230.0907538729,4419344.160301004,117.0,117.0
486656.18250136444,4418896.269707485,117.0,117.0
486081.3849758737,4419278.1241093725,110.0,110.0
486340.1637006453,4419187.662290451,120.0,120.0
486496.27682372025,4419298.49426676,110.0,110.0
486496.27682372025,4419298.49426676,110.0,110.0
486490.1772017364,4419260.981453783,110.0,110.0
486340.1637006453,4419187.662290451,121.0,121.0
486281.5458390625,4418925.076712736,122.0,122.0
486331.71914297476,4419136.9396136245,119.0,119.0
486161.0521616313,4419173.859915799,119.0,119.0
486741.5009557316,4418933.529451782,111.0,111.0
486888.82768614514,4418714.078048226,125.0,125.0
486741.5009557316,4418933.529451782,125.0,125.0
486081.3849758737,4419278.1241093725,127.0,127.0
486230.0907538729,4419344.160301004,128.0,128.0
486148.54049252206,4419175.954248495,115.0,115.0
486349.22885811585,4419232.679558683,115.0,115.0
486341.70730747946,4419197.235228852,116.0,116.0
486496.9284445958,4419291.326789898,131.0,131.0
486551.3622022379,4418820.684080155,130.0,130.0
486052.92259819695,4419051.4971852945,132.0,132.0
486568.98951682396,4418913.496387448,136.0,136.0
486364.2188162654,4418520.949199027,136.0,136.0
486836.7601649938,4418917.299973484,136.0,136.0
486492.78440790845,4419288.99824454,137.0,137.0
486078.98954029696,4419273.285693871,138.0,138.0
486362.1066816525,4419366.698416942,130.0,130.0
486233.4108867328,4418827.809602767,138.0,138.0
486489.33827267506,4419268.574903697,139.0,139.0
486070.839824683,4418924.737336693,140.0,140.0
486467.7245964571,4419302.238674281,142.0,142.0
486287.7983578856,4418854.981825827,143.0,143.0
486081.3849758737,4419278.1241093725,143.0,143.0
486501.1020493837,4418833.203017535,143.0,143.0
486447.0306290037,4418884.426810853,130.0,130.0
486442.5481776373,4418885.138759658,131.0,131.0
486548.9007500427,4418805.8672188055,146.0,146.0
486333.4690922071,4418351.674825982,146.0,146.0
486063.78220255976,4419232.678614563,124.0,124.0
486070.1033690064,4419223.658360438,124.0,124.0
486070.1033690064,4419223.658360438,124.0,124.0
