OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_PROG_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
72,Manatawna Farm,Manatawna Farm,N,,Manatawna, ,1899,100 SPRING LN,19128,8482 HAGYS MILL RD,"844 MANATAWNA RD;899 Manatawna Dr;8482 HAGYS MILL RD",64.52573195,FARM,URBANAGRICULTURE_FARM,3,4,4,5,Y,Y,N,,446276.31640625,3965.8280149092
73,Wisters Woods Park,Wisters Woods Park,N,,Wisters Woods, ,875,1998 BELFIELD AVE,19141,"5401 E WISTER ST, 1901 LINDLEY AVE, 432-60 E WISTER ST, 1601 LINDLEY AVE","Duncannon & Wister;5401 E WISTER ST, 1901 LINDLEY AVE, 432-60 E WISTER ST, 1601 LINDLEY AVE",61.00310521,ATHLETIC_SITE,CONSERVATION_DRAINAGE_WATERSHED,4,4,8,"14;35",Y,Y,N,,421624.1171875,7417.84714559149
74,Fairmount Park Horticulture Center,West Fairmount Park,Y,Fairmount Park Horticulture Center,Horticulture Center, ,1874,4200 HORTICULTURAL DR,19131,3401 W GIRARD AVE,"4180 HORTICULTURAL DR; 100 N HORTICULTURAL DR",39.19065268,EVENT_VENUE,URBANAGRICULTURE_GARDEN,7,5,4,16,Y,Y,N,Horticulture Center built in 1976,270457.3671875,3013.00510184549
75,Wissinoming Park,Wissinoming Park,N,Wissinoming Park,Wissinoming,,1973,5801 FRANKFORD AVE,19135,5801 FRANKFORD AVE,"Frankford & Comly;5773 FRANKFORD AVE;5747 FRANKFORD AVE;4043 E CHELTENHAM AVE",42.63252407,RECREATION_CENTER,RECREATION_SITE,6,2,7,15,Y,Y,Y,,294567.20703125,2216.66894776195
76,Roxborough Reservoir Park,Roxborough Reservoir Park,N,Roxborough Reservoir Park,Roxborough Reservoir, ,2792,601 PORT ROYAL AVE,19128,601 PORT ROYAL AVE,,37.28503739,CONSERVATION_UNDEVELOPED,RESERVOIR,3,4,4,5,Y,Y,N,,257859.79296875,2021.17172454774
77,Manayunk Canal,Manayunk Canal,N,,Manayunk Canal, ,2793,109 FOUNTAIN ST,19127,"4500 MAIN ST;7600 NIXON ST","7 Lock St;4500 MAIN ST",33.75008004,BREEZEWAY_GREENWAY,GREENWAY_PARKWAY,3,4,4,5,N,Y,N,,233262.46484375,9636.78023499181
78,Michael Palmer Playground,Michael Palmer Playground,N,Michael Palmer Playground,M Palmer,Far Northeast Athletic Association,1926,2972 COMLY RD,19154,"11701 THORNTON RD, 2981 COMLY RD","11701 THORNTON RD;3035 COMLY RD;Comly & Thornton;2981 COMLY RD;11774 THORNTON RD;2929 COMLY RD",74.15825179,RECREATION_CENTER,RECREATION_SITE,2,1,10,8,Y,Y,Y,Northern portion of Palmer is leased to Far Northeast Athletic Association,513500.18359375,4043.88037374867
79,William A Lackman Memorial Playground,William A Lackman Memorial Playground,N,William A. Lackman Memorial Playground,Lackman,,1888,1165 BARTLETT ST,19115,800 BARTLETT ST,"800 BARTLETT ST;1101 BARTLETT ST;1151 BARTLETT ST;Chesworth & Bartlett",11.44183675,RECREATION_CENTER,RECREATION_SITE,1,1,10,7,Y,Y,Y,,79233.72265625,1145.94601696385
80,Wooden Bridge Run,Wooden Bridge Run,N,,Wooden Bridge, ,1632,2855 WILLITS RD,19114,2855 WILLITS RD,,49.97198536,CONSERVATION_UNDEVELOPED,CONSERVATION_DRAINAGE_WATERSHED,2,1,6,8,Y,Y,N,,345685.546875,4658.81377343884
81,29th and Chalmers Playground,29th and Chalmers Playground,N,,29th and Chalmers,Rhodes Middle School,1990,2900 N 29TH ST,19132,3001 W LEHIGH AVE,"3001 W LEHIGH AVE;2800 CHALMERS AVE",12.42792905,PLAYGROUND_SITE,RECREATION_SITE,3,6,4,39,Y,Y,N,Building is non-PPR.,85805.96875,1600.99201202359
82,Carroll Park (Cobbs Creek),Cobbs Creek Park,Y,,Carroll (Cobbs Creek),Price Park,3098,7800 CITY AVE,19151,,,29.57754926,CONSERVATION_UNDEVELOPED,CONSERVATION_DRAINAGE_WATERSHED,7,8,N/A,N/A,Y,Y,N,Edited boundaries per October 1928 ordinance (in archives). Not in City of Philadelphia City Limits,204083.87890625,2504.98710700587
83,Holme Crispin Park,Holme Crispin Park,N,,Holme Crispin,"Pennypack Community Center, Crispin Gardens Athletic Club",1633,2999 HOLME AVE,19136,"2870 WILLITS RD, 3064 HOLME AVE","Holme & Convent;2870 WILLITS RD, 3064 HOLME AVE",31.64380001,ATHLETIC_SITE,RECREATION_SITE,2,1,6,8,Y,Y,N,Crispin Gardens Athletic Club leases building and fields.,218851.6875,3325.54649619201
84,Disston Park,Disston Park,N,,Disston Park,Keystone,170,6447 KEYSTONE ST,19135,"6401 KEYSTONE ST, 6501 KEYSTONE ST, 6601 KEYSTONE ST, 6701 KEYSTONE ST, 6901 KEYSTONE ST, 6951 KEYSTONE ST","6501-6951 KEYSTONE ST;4423 LONGSHORE AVE;Keystone & Princeton;6401 KEYSTONE ST, 6501 KEYSTONE ST, 6601 KEYSTONE ST, 6701 KEYSTONE ST, 6901 KEYSTONE ST, 6951 KEYSTONE ST",23.49995295,ATHLETIC_SITE,MISC_PARK,6,2,6,15,Y,Y,N,,162358.171875,4343.49007874954
85,Joseph E Mander Playground,East Fairmount Park,Y,Joseph E. Mander Playground,Mander,,1900,2102 N 33RD ST,19132,,"33rd & Diamond;3309 DIAMOND ST;2142 N 33RD ST;3303 DIAMOND ST;2140 N 33RD ST",22.26594622,RECREATION_CENTER,RECREATION_SITE,8,5,4,22,Y,Y,Y,,153685.10546875,1574.91263941089
86,Marconi Plaza,Marconi Plaza,N,Marconi Plaza,Marconi,Oregon Plaza,1221,2700 S BROAD ST,19148,"2700 S BROAD ST;2701 S BROAD ST","Broad & Oregon;2701 S BROAD ST;1360-80 OREGON AVE;2700 S BROAD ST",18.84613709,PLAYGROUND_SITE,SQUARE_PLAZA,11,7,2,"1;3",Y,Y,N,Bocci Club leases building.,129800.9453125,2098.04847410323
87,Fort Mifflin,Fort Mifflin,N,Fort Mifflin,Ft Mifflin,Fort Mifflin Historical Site,1267,4800 FORT MIFFLIN RD,19153,4800 FORT MIFFLIN RD,1 Fort Mifflin Rd,40.37292582,EVENT_VENUE,HISTORIC_SITE,10,8,2,12,Y,Y,N,,277734.3046875,3600.285705917
88,Fox Chase Recreation Center,Fox Chase Recreation Center,N,Fox Chase Recreation Center,Fox Chase,Fox Chase School Playground,1857,7901 RIDGEWAY ST,19111,"601 BORBECK AVE, 700 RHAWN ST","601 BORBECK AVE;700 RHAWN ST;7976 ROCKWELL AVE;7901 RIDGEWAY ST;Rockwell & Ridgeway",16.36916298,RECREATION_CENTER,RECREATION_SITE,1,1,10,2,Y,Y,Y,Portion of site is leased from School District,113263.57421875,1538.34936289044
89,William (Billy) Gambrel Playground,William (Billy) Gambrel Playground,N,William (Billy) Gambrel Playground,Gambrel,"Whitehall Commons Playground;White Hall Commons",1862,1900 WAKELING ST,19124,1900 WAKELING ST,4950 DITMAN ST,11.54475246,RECREATION_CENTER,RECREATION_SITE,6,2,7,15,Y,Y,Y,,79743.875,1184.68408403015
90,J Francis Finnegan Playground,J Francis Finnegan Playground,N,J. Francis Finnegan Playground,J Finnegan,"Paschall Playground; James Finnegan",95,6801 GROVERS AVE,19142,6801 GROVERS AVE,69th & Grovers,17.69740338,RECREATION_CENTER,RECREATION_SITE,10,8,2,12,Y,Y,Y,,121886.86328125,1833.57539529764
91,Lawncrest Recreation Center,Lawncrest Recreation Center,N,Lawncrest Recreation Center,Lawncrest,,1891,6030 RISING SUN AVE,19111,6000 RISING SUN AVE,"6000 RISING SUN AVE, Rising Sun & Comly",14.83826654,RECREATION_CENTER,RECREATION_SITE,1,3,9,2,Y,Y,Y,"Library, Water, and PPD/Fire portions of land are not administered by PPR.",102591.1875,1381.91600771485
92,Pastorius Park,Pastorius Park,N,Pastorius Park,Pastorius, ,1213,200 W HARTWELL LN,19118,"198, 200, 201 W HARTWELL LN, 220 SUNRISE LN","Pocono & Southhampton, Lincoln Dr & Abington Ave;198, 200, 201 W HARTWELL LN, 220 SUNRISE LN",16.4611563,NEIGHBORHOOD_PARK,MISC_PARK,3,4,8,14,Y,Y,N,Named for Francis Pastorius,113892.90234375,1639.27795576302
93,Joseph F Vogt Playground,Joseph F Vogt Playground,N,Joseph F. Vogt Playground,Vogt,,1968,4351 UNRUH AVE,19135,4131 UNRUH AVE,"4131 UNRUH AVE;4240 KNORR ST",15.83185436,RECREATION_CENTER,RECREATION_SITE,2,2,6,15,Y,Y,Y,,109404.5625,1403.38833453912
94,American Legion Playground,American Legion Playground,N,American Legion Playground,American,,1808,4801 DEVEREAUX AVE,19135,6201 TORRESDALE AVE,"6201 TORRESDALE AVE;Torresdale & Devereaux",15.72173189,RECREATION_CENTER,RECREATION_SITE,6,2,6,15,Y,Y,Y,,108609.98046875,1363.73371334345
95,George Jacobs Playground,George Jacobs Playground,N,George Jacobs Playground,Jacobs,,1877,4500 LINDEN AVE,19136,9050 TORRESDALE AVE,"4558 LINDEN AVE;9050 TORRESDALE AVE;Linden & Jackson",14.68924535,RECREATION_CENTER,RECREATION_SITE,2,1,6,8,Y,Y,Y,Torresdale Boys Club leases the athletic buliding and fields on the property.,101574.33203125,1369.23199962801
96,Torresdale Recreation Center,Torresdale Recreation Center,N,Torresdale Recreation Center,Torresdale,,68,9501 LEON ST,19114,9550 FRANKFORD AVE,"9550 FRANKFORD AVE;9500 FRANKFORD AVE;Frankford & Aubrey",14.22119289,RECREATION_CENTER,RECREATION_SITE,2,1,6,8,Y,Y,Y,,98360.6171875,1389.36403544169
97,William B Simons Recreation Center,William B Simons Recreation Center,N,William B. Simons Recreation Center,Simons,"Simons Youth Access & Teen Center;Simons Youth Center & Teen Center;William B. Simons Playfield",1953,7224 WOOLSTON AVE,19138,1601-35 E WALNUT LN,"1601-35 E WALNUT LA, 7200 WOOLSTON AVE, Walnut & Rodney",13.12051496,RECREATION_CENTER,RECREATION_SITE,4,4,9,14,Y,Y,Y,,90752.52734375,1263.76911352307
98,Olney Recreation Center,Olney Recreation Center,N,Olney Recreation Center,Olney,,1924,199 E SPENCER AVE,19120,100 E GODFREY AVE,"100 E GODFREY AVE;A & Champlost;6000 A ST;6059 A ST",13.62146671,RECREATION_CENTER,RECREATION_SITE,5,3,9,35,Y,Y,Y,Rebuild Renovation Started in 2024,94166.74609375,1312.85553825835
99,Wakefield Park,Wakefield Park,N,,Wakefield, ,877,5300 N 16TH ST,19141,"5100 N 16TH ST, 5300 N 16TH ST","16th & Lindley;5100 N 16TH ST",14.64808094,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,8,35,Y,Y,N,,101235.57421875,1975.17995676777
100,Julian Abele Park,Julian Abele Park,N,,Abele, ,1159,923 S 22ND ST,19146,917-31 S 22ND ST,"917 S 22ND ST;917-31 S 22ND ST",0.28605084,NEIGHBORHOOD_PARK,SQUARE_PLAZA,11,7,2,17,Y,Y,N,,1971.6171875,183.470862223662
101,Charles A Russo Playground,Charles A Russo Playground,N,Charles A. Russo Playground,Russo,Tacony Park,1946,7301 TORRESDALE AVE,19136,7301 TORRESDALE AVE,"7321 TORRESDALE AVE;Torresdale & Cottman;7370 EDMUND ST;7352 EDMUND ST",12.46289021,RECREATION_CENTER,RECREATION_SITE,2,1,6,15,Y,Y,Y,Mayfair Athletic Club leases the southeastern building on the Russo property.,86125.8515625,1186.86403613396
102,Max Myers Playground,Max Myers Playground,N,Max Myers Playground,M Myers,,1904,1805 HELLERMAN ST,19149,1601 HELLERMAN ST,"1601 HELLERMAN ST;1800 MAGEE AVE;6500 BUSTLETON AVE;6501 HORROCKS ST;Horrocks & Magee",12.37033782,RECREATION_CENTER,RECREATION_SITE,1,1,7,2,Y,Y,Y,Site Renovated in 2022.,85506.94140625,1232.70662897891
103,Corporal Jimmy OConnor Memorial Playground,Corporal Jimmy OConnor Memorial Playground,N,Corporal Jimmy O'Connor Memorial Playground,Jimmy OConnor,"Chalfont & Deerpath Playground;Chalfont Playground;Rush School;Fitzpatrick School",1826,4340 DEERPATH LN,19154,"4330 DEERPATH LN, 11061 KNIGHTS RD, 4330 DEERPATH LN, 11081 KNIGHTS RD","4200 DEERPATH LN;4330 DEERPATH LN;4336 DEERPATH LA;4330-40 DEERPATH LN;4330 DEERPATH LN;11081 KNIGHTS RD;11061 KNIGHTS RD",13.73990355,RECREATION_CENTER,RECREATION_SITE,2,1,10,8,Y,Y,Y,"Land is owned by City, School District owns the track land and south driveway, which PPR leases. Our Lady of Calvary Athletic Association leases out athletic fields and track.",95091.53125,2096.04275113734
104,Gustine Recreation Center,Gustine Recreation Center,N,Gustine Recreation Center,Gustine,"Gustine Lake Rec Center; Legacy Tennis",1984,4842 RIDGE AVE,19129,,4868 RIDGE AVE,12.12361947,RECREATION_CENTER,RECREATION_SITE,3,4,4,39,Y,Y,Y,On site are a PWD facility and the Legacy Youth and Tennis facility.,83738.33203125,1287.66844477851
105,Clarence H Clark Park,Clarence H Clark Park,N,,Clark,,2906,4301 CHESTER AVE,19104,"4301 CHESTER AVE, 1101 S 45TH ST","43rd & Woodland;1101 S 45TH ST",12.03396792,PLAYGROUND_SITE,MISC_PARK,10,8,3,18,Y,Y,N,Rosenberger Hall premises is leased to PAID/University of Sciences.,82961.578125,1786.2232806261
106,Karen Donnelly Park,Karen Donnelly Park,N,Karen Donnelly Park,Donnelly,,166,230 DICKINSON ST,19147,230-34 DICKINSON ST,230-34 DICKINSON ST,0.2330446,PLAYGROUND_SITE,MISC_PARK,12,7,1,3,Y,Y,N,,1605.70703125,202.26489078066
107,Suffolk Park,Suffolk Park,N,Suffolk Park,Suffolk,"Suffolk Park;Eastwick Park",400,7401 LINDBERGH BLVD,19153,7401 LINDBERGH BLVD,74th & Lindbergh,11.30889162,PLAYGROUND_SITE,MISC_PARK,10,8,2,12,Y,Y,N,,77867.7890625,1160.15568491084
108,Carmella A DiTizio Playground,Carmella A DiTizio Playground,N,Carmella A. DiTizio Playground,Carmella,Whitehall Playground,1823,2150 WAKELING ST,19124,2100 WAKELING ST,"2100 WAKELING ST, 2180 WAKELING ST",11.18315124,RECREATION_CENTER,RECREATION_SITE,6,2,7,15,Y,Y,Y,,77239.69921875,1102.92890254874
109,George C Pelbano Playground,George C Pelbano Playground,N,George C. Pelbano Playground,Pelbano,"Rhawnhurst Raiders Athletic Association;The Frank Bond Memorial Field",1987,2138 SOLLY AVE,19152,8101 BUSTLETON AVE,"8101 BUSTLETON AVE, Bustleton & Solly; 2124 SOLLY AVE",10.51602635,RECREATION_CENTER,RECREATION_SITE,1,1,10,7,Y,Y,Y,Football Field Scoreboard called field Frank Bond Memorial Field,72738.453125,1111.75220270248
110,Joseph A Ferko Playground,Tacony Creek Park,Y,Joseph A. Ferko Playground,Ferko,Juniata Park,1854,1101 E CAYUGA ST,19124,1101 E CAYUGA ST,"J & Cayuga;1223 E CAYUGA ST",10.53091284,RECREATION_CENTER,RECREATION_SITE,5,3,7,24,Y,Y,Y,Juniata Boys and Girls Club leases the eastern building on the Ferko property.,72742.1796875,1580.76480831401
111,Germany Hill,Germany Hill,N,,Germany Hill, ,609,4849 SMICK ST,19128,"4815, 4849, 4855 SMICK ST, 200 FOUNTAIN ST","4815, 4855 SMICK ST, 200 FOUNTAIN ST",10.82682679,CONSERVATION_UNDEVELOPED,CONSERVATION_DRAINAGE_WATERSHED,3,4,4,5,Y,Y,N,,74829.83984375,1332.52843984554
