OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_PROG_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
186,Waterview Recreation Center,Waterview Recreation Center,N,Waterview Recreation Center,Waterview,,1980,5826 MCMAHON AVE,19144,5826 MCMAHON AVE,"5820 MCMAHON AVE;Haines & McMahon",5.16461987,RECREATION_CENTER,RECREATION_SITE,4,4,8,14,Y,Y,Y,1911 Ordinance assigned to Department of Rec.,35706.125,769.244419782271
187,Cohocksink Recreation Center,Cohocksink Recreation Center,N,Cohocksink Recreation Center,Cohocksink,,1838,2901 CEDAR ST,19134,2901 CEDAR ST,"2889 CEDAR ST, Cedar & Cambria",5.11659919,RECREATION_CENTER,RECREATION_SITE,6,2,1,24,Y,Y,Y,,35311.12890625,861.347850726562
188,McMichael Park,McMichael Park,N,,McMichael, ,880,3201 MIDVALE AVE,19129,3201-45 MIDVALE AVE,"3201-45 MIDVALE AVE, Midvale & Henry",5.84360812,PLAYGROUND_SITE,MISC_PARK,3,4,4,39,Y,Y,N,,40368.546875,861.049015268981
189,Stephen E Fotterall Square,Stephen E Fotterall Square,N,Stephen E. Fotterall Square,Fotterall,James Young Memorial Playground,1184,2400 N 11TH ST,19133,2400 N 11TH ST,11th & York,5.06784791,PLAYGROUND_SITE,SQUARE_PLAZA,8,6,5,22,Y,Y,N,,34980.1640625,739.463963673668
190,Lawrence E Murphy Recreation Center,Lawrence E Murphy Recreation Center,N,Lawrence E. Murphy Recreation Center,Murphy,Greenwich Recreation Center,1919,300 SHUNK ST,19148,300 SHUNK ST,"4th & Shunk;2600 S 3RD ST",4.95000547,RECREATION_CENTER,RECREATION_SITE,12,7,1,3,Y,Y,Y,Site Renovations started in 2023.,34092.515625,725.6670731015
191,Harrowgate Park,Harrowgate Park,N,,Harrowgate,Gates Park,639,3455 KENSINGTON AVE,19134,3455 KENSINGTON AVE,Tioga & Kensington,4.9122538,PLAYGROUND_SITE,MISC_PARK,5,2,6,24,Y,Y,N,,33915.88671875,753.320045696768
192,48th and Woodland Playground,48th and Woodland Playground,N,,48th and Woodland,"Comegys Playground;Johnsons Playground",1804,4740 WOODLAND AVE,19143,4740 WOODLAND AVE,,4.8465753,RECREATION_CENTER,RECREATION_SITE,10,8,3,18,Y,Y,Y,,33406.15625,748.801687595013
193,Dan Shissler Recreation Center,Dan Shissler Recreation Center,N,Dan Shissler Recreation Center,Shissler,Kensington Recreation Center,1844,1826 BLAIR ST,19125,1800-56 BLAIR ST,"1800-56 BLAIR ST, 1800 BLAIR ST; Blair & Berks",3.89753023,RECREATION_CENTER,RECREATION_SITE,9,2,7,26,Y,Y,Y,,26893.00390625,988.883660085742
194,East Poplar Playground,East Poplar Playground,N,East Poplar Playground,East Poplar,East Poplar Field,1851,800 N 08TH ST,19123,"882 N 08TH ST; 800 N 08TH ST; 901 N 08TH ST","820 N 08TH ST, 9th & Parish;882 N 08TH ST;800 N 08TH ST;8th and Poplar",7.92240269,RECREATION_CENTER,RECREATION_SITE,9,6,5,"9;26",Y,Y,Y,"Playground site acquired in 1948, fields added in 1975.",54648.12890625,1496.39615873168
195,Narcissa S Cruz Recreation Center,Narcissa S Cruz Recreation Center,N,Narcissa S. Cruz Recreation Center,Cruz,Manila Park,908,1401 N 06TH ST,19122,1400-52 N 05TH ST,"1400-52 N 05TH ST;1431 N 06TH ST;6th & Master;1405 N 05TH St;575 MASTER ST",4.80987949,RECREATION_CENTER,RECREATION_SITE,9,2,7,26,Y,Y,Y,,33183.89453125,723.559436276664
196,Holmesburg Recreation Center,Holmesburg Recreation Center,N,Holmesburg Recreation Center,Holmesburg,Crispin School,1873,4510 RHAWN ST,19136,"4500 DECATUR ST, 4500 RHAWN ST","4500 DECATUR ST;4500 RHAWN ST",4.68312338,RECREATION_CENTER,RECREATION_SITE,2,1,6,15,Y,Y,Y,Archdiocese of Philadelphia leases the fields,32368.74609375,812.586983441221
197,Lardners Point Park,Lardners Point Park,N,,Lardners,,1650,5202 LEVICK ST,19135,6301 MILNOR ST,6301 MILNOR ST,4.96529795,NEIGHBORHOOD_PARK,MISC_PARK,6,2,6,15,Y,Y,N,,34289.97265625,921.244420517028
198,Frederick Cione Playground,Frederick Cione Playground,N,Frederick Cione Playground,Cione,Aramingo Sqaure,1830,2600 ARAMINGO AVE,19125,2600 ARAMINGO AVE,"Aramingo & Lehigh, 2610 ARAMINGO AVE",4.75222038,RECREATION_CENTER,RECREATION_SITE,6,2,1,26,Y,Y,Y,,32793.00390625,944.978676842454
199,Pleasant Playground,Pleasant Playground,N,Pleasant Playground,Pleasant,,1936,305 SLOCUM ST,19119,6757 CHEW AVE,"6757 CHEW AVE;6750 BOYER ST;332 PLEASANT ST;Boyer & Pleasant",4.75614281,RECREATION_CENTER,RECREATION_SITE,3,4,8,14,Y,Y,Y,,32894.05078125,796.310597099573
200,Miles Mack Playground,Miles Mack Playground,N,Miles Mack Playground,Mack,"McAlpine, McAlpin",1910,736 N 36TH ST,19104,732-66 N 36TH ST,"732-66 N 36TH ST, 36th & Aspen",2.53457803,RECREATION_CENTER,RECREATION_SITE,7,8,3,16,Y,Y,Y,Rebuild Renovations began 7/2020.,17483.375,535.241442080612
201,Athletic Recreation Center,Athletic Recreation Center,N,Athletic Recreation Center,Athletic,"Jefferson Baseball Grounds;26th and Master;Athletic Square",1811,2626 W JEFFERSON ST,19121,1401-55 N 27TH ST,"1450 N 26TH ST; 1420 N 26TH ST, 1401-55 N 27TH ST",4.69342432,RECREATION_CENTER,RECREATION_SITE,9,6,5,22,Y,Y,Y,1911 Ordinance assigned to Department of Rec,32384.578125,714.978562504477
202,Happy Hollow Recreation Center,Happy Hollow Recreation Center,N,Happy Hollow Recreation Center,Happy Hollow,,1868,4800 WAYNE AVE,19144,4740 WAYNE AVE,"4740 WAYNE AVE, Wayne & Logan",4.58829954,RECREATION_CENTER,RECREATION_SITE,4,4,8,39,Y,Y,Y,,31702.01171875,858.304554336292
203,CCA Baldi School Playground,CCA Baldi School Playground,N,,Baldi School, ,2808,8725 VERREE RD,19115,8725 VERREE RD,,4.27638183,PLAYGROUND_SITE,MISC_PARK,1,1,10,7,Y,Y,N,PPR Leases from SD,29606.03125,764.710300068794
204,Private Alfred J Simpson Memorial Recreation Center,Private Alfred J Simpson Memorial Recreation Center,N,Private Alfred J. Simpson Memorial Recreation Center,Simpson,,1954,1010 ARROTT ST,19124,1010 ARROTT ST,"Arrott & Large;1000 ARROTT ST",4.55414218,RECREATION_CENTER,RECREATION_SITE,6,3,7,15,Y,Y,Y,,31463.39453125,922.875879648233
205,Reverend M Monkiewicz Recreation Center,Reverend M Monkiewicz Recreation Center,N,Reverend M. Monkiewicz Recreation Center,Monkiewicz,,1913,3201 RICHMOND ST,19134,"3201 RICHMOND ST, 2855 E ALLEGHENY AVE","2855 E ALLEGHENY AVE;Richmond & Allegheny",9.55695271,RECREATION_CENTER,RECREATION_SITE,6,2,6,24,N,N,Y,,65952.0078125,1602.2729080108
206,Ernest L Tustin Recreation Center,Ernest L Tustin Recreation Center,N,Ernest L. Tustin Recreation Center,Tustin,,1965,1951 N 60TH ST,19151,5901-29 W COLUMBIA AVE,"5901-29 W COLUMBIA AVE, 59th & Lancaster;5999 W COLUMBIA AVE",4.32379072,RECREATION_CENTER,RECREATION_SITE,7,8,4,19,Y,Y,Y,,29837.75,739.621626960358
207,Wharton Square,Wharton Square,N,Wharton Square,Wharton,,305,1300 S 23RD ST,19146,1300 S 23RD ST,"2300 WHARTON ST, 23rd & Wharton",4.29406803,RECREATION_CENTER,RECREATION_SITE,11,7,2,17,Y,Y,Y,,29592.375,681.78223897102
208,Mifflin Square,Mifflin Square,N,,Mifflin, ,126,500 WOLF ST,19148,500 WOLF ST,6th & Wolf,4.17187934,PLAYGROUND_SITE,SQUARE_PLAZA,12,7,1,3,Y,Y,N,,28736.80078125,671.921971110184
209,Belfield Recreation Center,Belfield Recreation Center,N,,Belfield,,1815,2109 W CHEW AVE,19138,"2109 W CHEW AVE, 5801 N BEECHWOOD ST","21st & Chew, 5801 N BEECHWOOD ST",4.01471298,RECREATION_CENTER,RECREATION_SITE,4,4,8,35,Y,Y,Y,,27754.3359375,1022.03696861257
210,Overington Park,Overington Park,N,,Overington,Oaklands,299,4600 LEIPER ST,19124,4600 LEIPER ST,Orthodox & Leiper,4.12413095,PLAYGROUND_SITE,MISC_PARK,6,3,7,15,Y,Y,N,,28489.21484375,672.543712405665
211,Columbus Square,Columbus Square,N,Christopher Columbus - Anthony DiProspero Playground,Columbus,"Passyunk Square;Columbus/DiProspero",966,1200 WHARTON ST,19147,1200 WHARTON ST,"1300 S 12TH ST;1201 W REED ST",4.11151702,RECREATION_CENTER,RECREATION_SITE,12,7,1,3,Y,Y,Y,,28332.359375,666.851224146249
212,Dr Nicola Capitolo Playground,Dr Nicola Capitolo Playground,N,Dr. Nicola Capitolo Playground,Capitolo,,501,900 FEDERAL ST,19147,900 FEDERAL ST,10th & Federal,4.09197487,RECREATION_CENTER,RECREATION_SITE,12,7,1,3,Y,Y,Y,,28198.2265625,652.990126661673
213,George A Vare Recreation Center,George A Vare Recreation Center,N,George A. Vare Recreation Center,Vare,,1966,2600 MORRIS ST,19145,2600 MORRIS ST,26th & Morris,4.10767749,RECREATION_CENTER,RECREATION_SITE,11,7,2,17,Y,Y,Y,Site Renovations started in 2022,28304.359375,667.187509629329
214,Mount Airy Playground,Mount Airy Playground,N,Mount Airy Playground,Mt Airy,Sedgewick Park,1917,7001 GERMANTOWN AVE,19119,7001 GERMANTOWN AVE,Germantown & Sedgwick,4.06202346,RECREATION_CENTER,RECREATION_SITE,3,4,8,14,Y,Y,Y,,28093.95703125,692.811654402257
215,Lonnie Cohen Recreation Center,Lonnie Cohen Recreation Center,N,Lonnie Cohen Recreation Center,Cohen,"Hillside;Turtle Park",1872,201 FOUNTAIN ST,19127,201 FOUNTAIN ST,Fountain & Fowler,4.07980012,RECREATION_CENTER,RECREATION_SITE,3,4,4,5,Y,Y,Y,Site renamed in 2023.,28196.57421875,833.168724674941
216,Fairhill Square,Fairhill Square,N,Fairhill Square,Fairhill, ,924,2649 N LAWRENCE ST,19133,2649 N LAWRENCE ST,2601-61 N LAWRENCE ST,2.86246211,PLAYGROUND_SITE,SQUARE_PLAZA,8,6,7,26,Y,Y,N,,19758.6640625,605.272971419118
217,Rodin Museum,Benjamin Franklin Parkway,Y,Rodin Museum,Rodin, ,3465,2151 BENJAMIN FRANKLIN PKY,19130,N/A,22nd & Benjamin Franklin Parkway,4.16431027,EVENT_VENUE,MUSEUM,9,5,5,9,N,Y,N,This is the portion of the Benjamin Franklin Parkway that is associated with the Rodin Museum. See Street Legal Card for the 22nd and Hamilton 'wedge',28719.90234375,756.229530420311
218,Stephen Girard Park,Stephen Girard Park,N,,S Girard,"Girard Estates;The Place;Farmhouse;Gentilhommiere Area",510,2101 SHUNK ST,19145,2101 SHUNK ST,"2100 SHUNK ST;22nd & Porter;2200 W Porter St",4.02028992,NEIGHBORHOOD_PARK,SQUARE_PLAZA,11,7,2,1,Y,Y,N,Gentilhommiere Area leased out.,27693.33984375,658.75314457575
219,Commodore John Barry Playground,Commodore John Barry Playground,N,Commodore John Barry Playground,Barry,,262,2838 S 18TH ST,19145,1800 JOHNSTON ST,"1800 JOHNSTON ST, 18th & Bigler",4.01253216,RECREATION_CENTER,RECREATION_SITE,11,7,2,1,Y,Y,Y,,27636.18359375,657.272497977994
220,Senator William Vincent Mullin Playground,Senator William Vincent Mullin Playground,N,Senator William Vincent Mullin Playground,Mullin,,1918,4301 PRINCETON AVE,19135,4301 PRINCETON AVE,"4301 PRINCETON AVE, Princeton & Walker",3.89356158,RECREATION_CENTER,RECREATION_SITE,2,2,6,15,Y,Y,Y,Site Renovated in 2023.,26908.62109375,826.838501245818
221,Joseph C McIlvain Playground,Joseph C McIlvain Playground,N,Joseph C. McIlvain Playground,McIlvain,Frankford Playground,1907,5200 N PENN ST,19124,5200 N PENN ST,,3.85387392,RECREATION_CENTER,RECREATION_SITE,6,2,7,15,Y,Y,Y,,26628.27734375,716.699281090308
222,Marie Dendy Recreation Center,Marie Dendy Recreation Center,N,Marie Dendy Recreation Center,Dendy,Schwartz,1902,1591 N 10TH ST,19122,1501-39 N 10TH ST,"1501-39 N 10TH ST;10th & Oxford;1515 N 10TH ST",3.74314936,RECREATION_CENTER,RECREATION_SITE,9,6,5,26,Y,Y,Y,,25826.03125,656.766291218855
223,Wister Playground,Wister Playground,N,Wister Playground,Wister,,1974,4971 BAYNTON ST,19144,4971 BAYNTON ST,"Baynton & Shedaker;4975 BAYNTON ST",2.85421964,RECREATION_CENTER,RECREATION_SITE,4,4,8,14,Y,Y,Y,,19725.765625,611.738781227234
224,Solomon Sacks Playground,Solomon Sacks Playground,N,Solomon Sacks Playground,Sacks,,1947,400 WASHINGTON AVE,19147,400 WASHINGTON AVE,4th & Washington,3.73850107,RECREATION_CENTER,RECREATION_SITE,12,7,1,3,Y,Y,Y,,25762.4765625,641.335411166527
225,Victor J Moss Memorial Field,Victor J Moss Memorial Field,N,Victor J. Moss Memorial Field,Moss,,1916,5726 TORRESDALE AVE,19135,5700 TORRESDALE AVE,"5700 TORRESDALE AVE;Torresdale & Cheltenham",3.69440024,RECREATION_CENTER,RECREATION_SITE,6,2,6,15,Y,Y,Y,Site renovations in 10/2019.,25520.21484375,640.892025119559
226,Daniel E Rumph II Recreation Center,Daniel E Rumph II Recreation Center,N,Daniel E. Rumph II Recreation Center,Rumph,"Mallery; Otto T. Mallery Playground",1945,108 E JOHNSON ST,19144,100-70 E JOHNSON ST,"100-70 E JOHNSON ST, Morton & Johnson",3.67814457,RECREATION_CENTER,RECREATION_SITE,3,4,8,14,Y,Y,Y,,25431.51171875,637.162135870578
227,Dorothy Emanuel Recreation Center,Dorothy Emanuel Recreation Center,N,Dorothy Emanuel Recreation Center,Emanuel,"Dorothy Emanuel Recreation and Teen Center; McCloskey School",1849,8545 PROVIDENT ST,19150,8500 PICKERING AVE,"8500 PICKERING AVE;8532 PICKERING AVE;Pickering & Gowen",3.67858288,RECREATION_CENTER,RECREATION_SITE,3,4,9,14,Y,Y,Y,,25459.609375,635.803095929423
228,Francisville Recreation Center,Francisville Recreation Center,N,Francisville Recreation Center,Francisville,Francisville Playground,1859,1822 WYLIE ST,19130,1737-39 FRANCIS ST,"1737-39 FRANCIS ST, Francis & Stanley",3.6815697,RECREATION_CENTER,RECREATION_SITE,9,6,5,9,Y,Y,Y,,25395.84375,635.975307920443
229,Sister Clara Muhammad Square,Sister Clara Muhammad Square,N,Sister Clara Muhammad Square,Muhammad,Durham Square,484,1035 N 48TH ST,19131,4700-30 LANCASTER AVE,"4700-30 LANCASTER AVE, 47th & Lancaster",3.59833677,PLAYGROUND_SITE,SQUARE_PLAZA,7,8,3,16,Y,Y,N,,24823.7421875,681.904065902907
230,Feltonville Recreation Center,Feltonville Recreation Center,N,Feltonville Recreation Center,Feltonville,,1853,283 E WYOMING AVE,19120,231-37 E WYOMING AVE,"231-37 E WYOMING AVE, 235 E WYOMING AVE",3.27937959,RECREATION_CENTER,RECREATION_SITE,5,3,7,25,Y,Y,Y,,22657.046875,639.562083970132
231,Walter Palumbo Recreation Center,Walter Palumbo Recreation Center,N,Walter Palumbo Recreation Center,W Palumbo,"Frank Palumbo, Jr. Recreation Center;Palumbo Recreation Center;Walter 'Chief' Palumbo",1927,700 S 09TH ST,19147,700 S 09TH ST,"9th & Bainbridge;900 BAINBRIDGE ST;725 S 10TH ST",3.221015,RECREATION_CENTER,RECREATION_SITE,12,7,1,3,Y,Y,Y,"Originally Frank Palumbo Recreation Center, later renamed to Walter Palumbo Recreation Center. Historic Designation for the sports field area on 12/2021.",22201.2421875,593.555166246199
232,Harpers Hollow Park,Harpers Hollow Park,N,,Harpers Hollow,,860,5850 OGONTZ AVE,19141,5850 OGONTZ AVE,Ogontz & Conlyn,3.60078362,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,8,35,Y,Y,N,,24892.3359375,948.249227190264
233,Joseph Deni Recreation Center,Joseph Deni Recreation Center,N,Joseph Deni Recreation Center,Deni,,1846,1381 RUAN ST,19124,"1381 RUAN ST, 1385 RUAN ST","Adams & Church;1385 RUAN ST;1409 RUAN ST",3.52110521,PLAYGROUND_SITE,RECREATION_SITE,5,3,7,15,Y,Y,N,,24320.20703125,689.437420054931
234,James Allen Shuler Playground,James Allen Shuler Playground,N,James Allen Shuler Playground,Shuler,Whittier Playground,1878,3025 N 27TH ST,19132,2901 N 29TH ST,"2901 N 29TH ST, 27th & Clearfield, 3000 N 27TH ST",2.99198737,RECREATION_CENTER,RECREATION_SITE,3,6,4,39,Y,Y,Y,,20659.51171875,591.785175654949
235,Marian Anderson Recreation Center,Marian Anderson Recreation Center,N,Marian Anderson Recreation Center,M Anderson,,1901,776 S 17TH ST,19146,740 S 17TH ST,"740 S 17TH ST, 740-44 S 17TH ST",3.36089002,RECREATION_CENTER,RECREATION_SITE,11,7,2,17,Y,Y,Y,,23165.82421875,605.045803981513
236,John Dickinson Square,John Dickinson Square,N,,Dickinson,,960,1600 E MOYAMENSING AVE,19148,1600 E MOYAMENSING AVE,4th & Tasker,3.33034365,PLAYGROUND_SITE,RECREATION_SITE,12,7,1,3,Y,Y,N,,22945.62109375,606.105206960087
237,Disston Recreation Center,Disston Recreation Center,N,Disston Recreation Center,Disston Rec, ,1847,4500 DISSTON ST,19135,4423 LONGSHORE AVE,4423 LONGSHORE AVE,3.33070015,RECREATION_CENTER,RECREATION_SITE,2,2,6,15,Y,Y,Y,Renovations completed in 10/2020,23015.9765625,606.01935435003
238,Cloverly Park,Cloverly Park,N,Cloverly Park,Cloverly, ,772,5425 WISSAHICKON AVE,19144,5425 WISSAHICKON AVE,Wissahickon & School House,2.5442823,PLAYGROUND_SITE,MISC_PARK,4,4,8,39,Y,Y,N,,17580.22265625,531.439327669244
239,Albert W Christy Sr Recreation Center,Albert W Christy Sr Recreation Center,N,"Albert W. Christy, Sr. Recreation Center",Christy,"Sherwood Recreation Centre;55th and Christian",1829,728 S 55TH ST,19143,728 S 55TH ST,5501 CHRISTIAN ST,3.15489273,RECREATION_CENTER,RECREATION_SITE,10,8,3,18,Y,Y,Y,1911 Ordinance assigned to Department of Rec,21750.18359375,627.500685247603
240,Jefferson Square,Jefferson Square,N,Jefferson Square,Jefferson, ,199,300 WASHINGTON AVE,19147,300 WASHINGTON AVE,4th & Washington,3.12816978,NEIGHBORHOOD_PARK,SQUARE_PLAZA,12,7,1,3,Y,Y,N,,21556.421875,596.829673608253
241,Lindbergh Park,Lindbergh Park,N,,Lindbergh,"Carboni Ball Field;63rd & Lindbergh Park",1895,2800 S 63RD ST,19142,2800 S 63RD ST,63rd & Eastwick,3.12067264,ATHLETIC_SITE,MISC_PARK,10,8,3,12,Y,Y,N,,21496.234375,611.590434296082
242,William A Cibotti Recreation Center,William A Cibotti Recreation Center,N,William A. Cibotti Recreation Center,Cibotti,,498,2500 S 77TH ST,19153,2500 S 77TH ST,"7700 ELMWOOD AVE, 77th & Elmwood",3.05209218,RECREATION_CENTER,RECREATION_SITE,10,8,2,12,Y,Y,Y,,21016.62890625,632.733071623171
243,Jacob Stinger Park,Jacob Stinger Park,N,Jacob Stinger Park,Stinger,Stinger Square,443,1400 S 32ND ST,19146,1400 S 32ND ST,"3220 REED ST;33rd & Dickinson",3.09859027,PLAYGROUND_SITE,RECREATION_SITE,11,7,2,17,Y,Y,Y,,21354.1796875,589.560987269718
244,Northwood Park,Northwood Park,N,Northwood Park,Northwood, ,121,999 ARROTT ST,19124,"999 ARROTT ST;1003 FOULKROD ST","Arrott & Castor;1003 FOULKROD ST",6.749193,NEIGHBORHOOD_PARK,MISC_PARK,6,3,7,15,Y,Y,N,,46631.15625,1284.72235771807
245,Lower Mayfair Playground,Lower Mayfair Playground,N,Lower Mayfair Playground,Lower Mayfair,Ethan Allen School,1898,3023 ROBBINS ST,19149,3001 ROBBINS ST,"3001 ROBBINS ST;6300 HAWTHORNE ST;Battersby & Robbins",2.98769604,RECREATION_CENTER,RECREATION_SITE,6,2,6,15,Y,Y,Y,,20646.28125,610.318428928257
246,Inn Yard Park,East Fairmount Park,Y,,Inn Yard,Robert Evan's House,775,4250 RIDGE AVE,19129,4208-52 RIDGE AVE,4208-52 RIDGE AVE,1.41829472,PLAYGROUND_SITE,MISC_PARK,3,5,4,39,Y,Y,N,,9795.21875,424.160075265764
247,Charles H Chew Playground,Charles H Chew Playground,N,"Charles H. Chew, Sr. Playground",Chew,"Charles H. Chew, Jr. Playground",268,1800 WASHINGTON AVE,19146,1800 WASHINGTON AVE,1900 ELLSWORTH ST,2.79854277,RECREATION_CENTER,RECREATION_SITE,11,7,2,17,Y,Y,Y,"Ordinance has Sr, but should have been for Jr.",19287.55859375,588.598091389924
248,Donald P Finnegan Recreation Center,Donald P Finnegan Recreation Center,N,Donald P. Finnegan Recreation Center,D Finnegan,Oakford,452,1231 S 30TH ST,19146,"1231 S 30TH ST, 2909 WHARTON ST","2909 WHARTON ST;30th & Oakford",2.80201273,RECREATION_CENTER,RECREATION_SITE,11,7,2,17,Y,Y,Y,,19311.33203125,574.209961667073
249,Joseph V Kelly Memorial Playground,Joseph V Kelly Memorial Playground,N,Joseph V. Kelly Memorial Playground,Kelly Playground,,758,440 PARKER AVE,19128,440-42 PARKER AVE,440-42 PARKER AVE,2.77317159,PLAYGROUND_SITE,MISC_PARK,3,4,4,5,Y,Y,N,,19170.8125,569.081401919373
250,Campbell Square,Campbell Square,N,Campbell Square,Campbell,Allegheny Square,1128,2525 E ALLEGHENY AVE,19134,2525 E ALLEGHENY AVE,Allegheny & Belgrade,2.61362707,NEIGHBORHOOD_PARK,SQUARE_PLAZA,6,2,6,24,Y,Y,N,,18038.484375,535.657927594542
251,Tiffany Fletcher Recreation Center,Tiffany Fletcher Recreation Center,N,Tiffany Fletcher Recreation Center,Fletcher,Mill Creek Playground and Recreation Center,1911,4728 BROWN ST,19139,743-81 N 48TH ST,"743-81 N 48TH ST;47th & Aspen;4701 ASPEN ST;4700 BROWN ST",2.62730266,RECREATION_CENTER,RECREATION_SITE,10,8,3,16,Y,Y,Y,Name changed 12/2022,18122.0078125,534.340869939413
252,Morton Playground,Morton Playground,N,,Morton, ,1915,88 E HAINES ST,19144,88 E HAINES ST,"245 E RITTENHOUSE ST;217 E RITTENHOUSE ST;209 E RITTENHOUSE ST;Haines & Baynton",2.60299987,NEIGHBORHOOD_PARK,RECREATION_SITE,3,4,8,14,Y,Y,Y,,17993.49609375,576.516311506873
253,Woodside Park,Woodside Park,N,Woodside Park,Woodside,"Wynnefield Heights; Conshohocken-Windermere",1840,3918 CONSHOHOCKEN AVE,19131,3910-18 CONSHOHOCKEN AVE,"3910-18 CONSHOHOCKEN AVE, 3910 CONSHOHOCKEN AVE",2.61972754,PLAYGROUND_SITE,RECREATION_SITE,7,8,4,19,Y,Y,N,,18088.92578125,615.286812859967
254,Diamond Park,Diamond Park,N,,Diamond, ,635,2045 N 18TH ST,19121,1736-44 DIAMOND ST,1736-44 DIAMOND ST,0.24762491,NEIGHBORHOOD_PARK,SQUARE_PLAZA,8,6,5,22,Y,Y,N,,1708.984375,162.452688209023
255,Roberto Clemente Playground,Roberto Clemente Playground,N,Roberto Clemente Playground,Clemente,,1831,1800 WALLACE ST,19130,1800 WALLACE ST,18th & Wallace,2.54274811,RECREATION_CENTER,RECREATION_SITE,9,6,5,9,Y,Y,Y,,17538.72265625,540.780786558473
256,Juniata Park Older Adult Center,Juniata Park Older Adult Center,N,Juniata Park Older Adult Center,Juniata Older Adult Center, ,3466,1231 E SEDGLEY AVE,19124,1231 E SEDGLEY AVE,1251 E SEDGLEY AVE,2.51536334,OLDER_ADULT_CENTER,RECREATION_SITE,5,3,7,24,Y,Y,Y,,17369.2265625,564.331874107844
257,Matthias Baldwin Park,Matthias Baldwin Park,N,Matthias Baldwin Park,Baldwin,Franklintown Park,2814,429 N 19TH ST,19130,423-33 N 19TH ST,423-33 N 19TH ST,2.15206035,NEIGHBORHOOD_PARK,SQUARE_PLAZA,9,5,5,9,Y,Y,N,,14842.15234375,511.870527755057
258,Conestoga Community Playground,Conestoga Community Playground,N,Conestoga Community Playground,Conestoga,,1982,5300 MEDIA ST,19131,"1452 N 53RD ST, 5200 MEDIA ST","5200-300 MEDIA ST, 5200 MEDIA ST, 1452 N 53RD ST",2.45650337,RECREATION_CENTER,RECREATION_SITE,7,8,4,19,Y,Y,Y,"PPR originally leased from School District in 1954 and 1972, PPR and City officially acquired the properties in 2014.",16948.6328125,716.063595938843
259,Dave Dougherty (Hetzell) Field,Dave Dougherty (Hetzell) Field,N,Dave Dougherty (Hetzell) Field,Dougherty (Hetzell),Isaac D. Hetzell Playground,629,1301 E COLUMBIA AVE,19125,1301 E COLUMBIA AVE,Thompson St and Columbia Ave,2.46356186,ATHLETIC_SITE,MISC_PARK,9,2,5,26,Y,Y,N,,16995.83984375,519.129443421391
260,Bernard Samuel Playground,Bernard Samuel Playground,N,Bernard Samuel Playground,Samuel,"Recreation District HQ, Fox Square",1948,3539 GAUL ST,19134,2501 E TIOGA ST,"2501 E TIOGA ST; Tioga & Gaul",2.43285843,RECREATION_CENTER,RECREATION_SITE,6,2,6,24,Y,Y,Y,,16793.0234375,510.011526735747
261,Frank JG Dorsey Memorial Playground,Frank JG Dorsey Memorial Playground,N,Frank J.G. Dorsey Memorial Playground,Dorsey,,1848,4805 HELLERMAN ST,19135,6501 HEGERMAN ST,"6501 HEGERMAN ST;Hellerman & Edmund;4801 HELLERMAN ST",2.41678763,RECREATION_CENTER,RECREATION_SITE,6,2,6,15,Y,Y,Y,,16697.265625,568.185513742813
262,John F Kennedy Plaza (LOVE Park),Benjamin Franklin Parkway,Y,John F. Kennedy Plaza (LOVE Park),JFK (Love Park),"LOVE Park;JFK Plaza",205,1501 JOHN F KENNEDY BLVD,19102,1501 JOHN F KENNEDY BLVD,15th & JFK,2.41408104,NEIGHBORHOOD_PARK,SQUARE_PLAZA,9,5,5,9,Y,Y,N,,16643.76171875,524.728848671188
263,12th and Cambria Playground,12th and Cambria Playground,N,,12th and Cambria,,1800,2900 N 12TH ST,19133,"1149 W CAMBRIA ST, 1127-33 W CAMBRIA ST, 1135-41 W CAMBRIA ST, 2900-30 N 11TH ST","1149 W CAMBRIA ST, 1127-33 W CAMBRIA ST, 1135-41 W CAMBRIA ST, 2900-30 N 11TH ST, 2915 N 12TH ST",2.33737423,RECREATION_CENTER,RECREATION_SITE,8,3,5,25,Y,Y,Y,,16136.8828125,542.995987413907
264,Starr Garden Playground,Starr Garden Playground,N,Starr Garden Playground,Starr Garden,,1957,606 LOMBARD ST,19147,600-44 LOMBARD ST,"600-44 LOMBARD ST, 6th & Lombard",2.16683947,RECREATION_CENTER,RECREATION_SITE,12,7,1,3,Y,Y,Y,,14935.83984375,507.382393883514
265,Womrath Park,Womrath Park,N,,Womrath, ,120,4098 FRANKFORD AVE,19124,4098 FRANKFORD AVE,Kensington & Frankford,2.1676801,NEIGHBORHOOD_PARK,SQUARE_PLAZA,5,3,7,15,Y,Y,N,1911 Ordinance assigned land to Department of Rec,14970.4609375,591.724806953893
