u,v,key,osmid,oneway,name,highway,reversed,length,lanes,maxspeed,service,ref,bridge,access,tunnel,width,junction,betweenness,closeness,degree,closeness_800,betweenness_800,geometry_wkt
110164757,110248111,0,"[423946627, 423946631]",False,Haldeman Avenue,secondary,False,230.225,3,,,,,,,,,0.006437489164766783,5.8070754433702926e-05,7.0,0.0017383174166077568,0.2574681485497425,"LINESTRING (497852.023249 4438397.200203, 497811.33315 4438380.085762, 497795.510684 4438373.741599, 497638.724933 4438309.624287)"
110164764,110164780,0,12152545,False,Conwell Avenue,residential,False,75.516,2,,,,,,,,,0.00015331409663621361,5.720562101573107e-05,6.0,0.0018484655540795957,0.27916984975808506,"LINESTRING (497905.094679 4438246.058569, 497930.392142 4438175.016718)"
110164764,109829813,0,12152545,False,Conwell Avenue,residential,True,76.05,2,,,,,,,,,0.00022958805386025404,5.738159571513164e-05,6.5,0.0018089608944464857,0.1993379169849758,"LINESTRING (497905.094679 4438246.058569, 497880.735591 4438317.988187)"
110164764,109829830,0,12156319,False,Montour Street,residential,False,266.381,,,,,,,,,,8.35739041324985e-05,5.707768170648438e-05,6.0,0.0018319607067564764,0.2546374561554827,"LINESTRING (497905.094679 4438246.058569, 497994.692533 4438278.555016, 498047.548581 4438302.959474, 498067.071776 4438314.497647, 498080.20147 4438324.594588, 498085.148336 4438336.025519, 498086.771554 4438350.454077, 498083.706281 4438363.884891, 498074.591344 4438386.751565, 498070.075414 4438393.856206)"
110164780,110164794,0,12152545,False,Conwell Avenue,residential,False,225.933,2,,,,,,,,,0.0002773427405454599,5.735819653317076e-05,6.0,0.00176136357517067,0.3439106077213494,"LINESTRING (497930.392142 4438175.016718, 498002.792182 4437961.33768)"
110164780,110164764,0,12152545,False,Conwell Avenue,residential,True,75.516,2,,,,,,,,,0.00015331409663621361,5.720562101573107e-05,6.0,0.0018484655540795957,0.27916984975808506,"LINESTRING (497930.392142 4438175.016718, 497905.094679 4438246.058569)"
110164780,109860587,0,12170225,False,Dungan Road,residential,False,77.807,,,,,,,,,,9.456865856262076e-05,5.700482478942206e-05,6.0,0.0018586853755689992,0.20828020863517824,"LINESTRING (497930.392142 4438175.016718, 498004.304089 4438199.74813)"
110164794,110164780,0,12152545,False,Conwell Avenue,residential,True,225.933,2,,,,,,,,,0.0002773427405454599,5.735819653317076e-05,6.0,0.00176136357517067,0.3439106077213494,"LINESTRING (498002.792182 4437961.33768, 497930.392142 4438175.016718)"
110164794,110536628,0,12202203,False,Wingtip Road,residential,False,76.434,,,,,,,,,,0.0002757271129011006,5.74684655754305e-05,5.5,0.0016627266941340337,0.25185340022296543,"LINESTRING (498002.792182 4437961.33768, 498074.490144 4437988.1792)"
110164794,110164807,0,12152545,False,Conwell Avenue,residential,False,75.045,2,,,,,,,,,0.000598667701244797,5.770631899857398e-05,7.0,0.0016593298653384376,0.3898209718670077,"LINESTRING (498002.792182 4437961.33768, 498022.919174 4437898.311155, 498025.585192 4437889.952764)"
110164807,4462444658,0,12152545,False,Conwell Avenue,residential,False,304.131,2,,,,,,,,,0.0011918704499125888,5.8017384343888025e-05,7.0,0.0014262758775556968,0.2966214177978884,"LINESTRING (498025.585192 4437889.952764, 498028.557978 4437881.117029, 498044.361521 4437843.908427, 498053.988556 4437821.252489, 498065.661182 4437797.053254, 498081.502519 4437773.041669, 498093.415758 4437755.834911, 498105.303919 4437740.40405, 498117.874167 4437725.195022, 498130.734644 4437711.351145, 498144.618189 4437697.684628, 498160.624161 4437682.763411, 498175.539646 4437670.461901, 498192.858971 4437657.249714, 498195.56938 4437655.17352, 498202.788629 4437649.666605)"
110164807,110164794,0,12152545,False,Conwell Avenue,residential,True,75.045,2,,,,,,,,,0.000598667701244797,5.770631899857398e-05,7.0,0.0016593298653384376,0.3898209718670077,"LINESTRING (498025.585192 4437889.952764, 498022.919174 4437898.311155, 498002.792182 4437961.33768)"
110164807,110039437,0,12152704,False,President Street,residential,False,332.61,,,,,,,,,,0.000533247591381797,5.732302572727505e-05,7.0,0.0015389471394891758,0.25848039215686275,"LINESTRING (498025.585192 4437889.952764, 498034.553871 4437893.069309, 498137.897761 4437929.004634, 498197.576165 4437956.627222, 498259.300953 4437988.356514, 498325.460461 4438031.517505)"
110164807,110166337,0,12152704,False,President Street,residential,True,161.334,,,,,,,,,,0.0006902548943229806,5.79556702638127e-05,7.0,0.0017108811908898753,0.3744265074450833,"LINESTRING (498025.585192 4437889.952764, 498017.290112 4437887.457608, 497936.018493 4437863.016658, 497869.181775 4437849.938088)"
110164889,4462444654,0,62278430,False,Conwell Avenue,residential,True,19.273,2,,,,,,,,,0.002509776668860494,5.8295717836044556e-05,5.0,0.0012301431434561822,0.1753324753324753,"LINESTRING (498232.543273 4437625.418974, 498217.593479 4437637.598288)"
110164889,109746557,0,62278472,True,Roosevelt Boulevard,trunk,False,332.91900000000004,3,45 mph,,US 1,,,,,,0.0006787157262168603,5.777040239323211e-05,3.5,0.000610123689643453,0.09087301587301587,"LINESTRING (498232.543273 4437625.418974, 498238.930417 4437634.041562, 498430.785205 4437892.699495)"
110164920,109812793,0,690259704,False,West Mount Pleasant Avenue,residential,True,160.531,2,,,,,,,,,0.00038827743493860273,8.14267603486716e-05,5.5,0.0016009609904943868,0.15970229786054432,"LINESTRING (483654.730046 4434043.824199, 483760.6535 4434164.422746)"
110164920,109807597,0,12156009,False,Mower Street,residential,True,158.002,,,,,,,,,,0.0007760280695848426,8.166137889427276e-05,6.0,0.0016350313631955018,0.12638888888888888,"LINESTRING (483654.730046 4434043.824199, 483659.250936 4434040.107339, 483754.233724 4433962.253593, 483771.364321 4433948.265281, 483777.060508 4433943.691343)"
110164920,110164927,0,690259704,False,West Mount Pleasant Avenue,residential,False,174.06300000000002,2,,,,,,,,,0.002410346716414548,8.155688967863625e-05,7.0,0.0017614617956450338,0.29014021034148674,"LINESTRING (483654.730046 4434043.824199, 483547.978591 4433916.591613, 483542.873522 4433910.509219)"
110164927,110166444,0,12152713,False,Cresheim Road,residential,False,120.97800000000001,2,,,,,,,,,0.003799776883263409,8.139939224295895e-05,6.5,0.0018740028750291987,0.3214682050028147,"LINESTRING (483542.873522 4433910.509219, 483540.885197 4433913.965377, 483539.612522 4433917.05371, 483537.773838 4433922.651689, 483505.88489 4434025.399517)"
110164927,109807604,0,12152713,False,Cresheim Road,residential,True,125.723,2,,,,,,,,,0.0030355938141732623,8.196272976677545e-05,8.0,0.0018275205660574852,0.36409243546412384,"LINESTRING (483542.873522 4433910.509219, 483546.131603 4433906.550847, 483549.996479 4433903.15722, 483558.998088 4433896.833385, 483583.252271 4433879.799151, 483638.897618 4433840.709803, 483644.552477 4433836.746311)"
110164927,4458687045,0,"[690259704, 12152554, 690259699]",False,West Mount Pleasant Avenue,residential,False,131.825,2,,,,,,,,,0.004692901929688686,8.167275013907068e-05,8.0,0.0019258327197010788,0.428750982285592,"LINESTRING (483542.873522 4433910.509219, 483537.777119 4433904.493405, 483521.820902 4433885.670487, 483519.948184 4433883.443613, 483504.555694 4433865.030178, 483489.975332 4433847.502944, 483483.621725 4433839.958211, 483464.167567 4433816.903133, 483458.10441 4433809.590872)"
110164927,110164920,0,690259704,False,West Mount Pleasant Avenue,residential,True,174.06300000000002,2,,,,,,,,,0.002410346716414548,8.155688967863625e-05,7.0,0.0017614617956450338,0.29014021034148674,"LINESTRING (483542.873522 4433910.509219, 483547.978591 4433916.591613, 483654.730046 4434043.824199)"
110164956,109925205,0,12152554,False,West Mount Pleasant Avenue,residential,False,178.417,2,,,,,,,,,0.0018342353547397112,8.157190176011102e-05,8.0,0.0021082092482323546,0.27138454705410064,"LINESTRING (483198.70223 4433500.159994, 483194.691284 4433495.385119, 483160.86723 4433455.025702, 483088.557598 4433369.034487, 483083.999031 4433363.550542)"
110164956,109840800,0,12152554,False,West Mount Pleasant Avenue,residential,True,178.905,2,,,,,,,,,0.002517489729676033,8.15039251921527e-05,8.0,0.002064761392207723,0.23761705719401954,"LINESTRING (483198.70223 4433500.159994, 483203.055261 4433505.344785, 483270.769961 4433585.886415, 483308.680325 4433630.976694, 483313.794347 4433637.081109)"
110164956,110396352,0,12199741,False,Cherokee Street,residential,False,75.137,2,,,,,,,,,0.0005296544611202089,8.114526586518449e-05,7.0,0.0020420671462273348,0.16224751528548997,"LINESTRING (483198.70223 4433500.159994, 483194.479283 4433503.654482, 483163.650229 4433529.184298, 483140.798881 4433548.10361)"
110164956,110033935,0,12199741,False,Cherokee Street,residential,True,82.857,2,,,,,,,,,0.0005184667600784461,8.155371186609848e-05,8.0,0.002077783516050453,0.1433245855063958,"LINESTRING (483198.70223 4433500.159994, 483202.610274 4433496.976983, 483234.496033 4433470.890035, 483262.882675 4433447.685623)"
110164971,110257355,0,12207364,False,Kensington Avenue,tertiary,True,59.825,,,,,,,,,,0.019747899960272215,0.00011508026672629181,5.0,0.0013995767712318813,0.21001848097836992,"LINESTRING (488881.51923 4426349.460301, 488832.44612 4426315.158453)"
110164971,110580167,0,"[1278997708, 1278997709]",False,Kensington Avenue,tertiary,False,60.358000000000004,,,,,,,,,,0.02175414601837694,0.00011530302078525365,6.0,0.0013702260980334073,0.24314367802339495,"LINESTRING (488881.51923 4426349.460301, 488894.236546 4426358.642828, 488908.364014 4426368.844433, 488930.661392 4426384.583692)"
110164982,110186221,0,12154624,True,Jasper Street,residential,False,60.835,,,,,,,,,,0.0010454559960113052,0.00011408118414736409,4.0,0.0011600417920196234,0.03888366923461635,"LINESTRING (488957.589072 4426237.637886, 489008.053414 4426271.705448)"
110164982,110164971,0,12152560,True,East Letterly Street,residential,False,135.324,1,25 mph,,,,,,,,0.010063977573743275,0.00011439130979504987,4.5,0.0013128439376700785,0.12651035409391853,"LINESTRING (488957.589072 4426237.637886, 488931.629754 4426275.51216, 488881.51923 4426349.460301)"
110164992,110164982,0,12152560,True,East Letterly Street,residential,False,131.631,1,25 mph,,,,,,,,0.0006666145310511065,0.00011352575728475476,4.0,0.0013201884023500243,0.043152389984305026,"LINESTRING (489031.308844 4426128.683193, 488957.589072 4426237.637886)"
110164992,110297367,0,636944812,True,Emerald Street,residential,False,61.17,,25 mph,,,,,,,,0.0017277384324143007,0.00011368464789171255,4.0,0.001313467478524255,0.042147978713972134,"LINESTRING (489031.308844 4426128.683193, 489082.072619 4426162.906195)"
110165008,110257377,0,12203924,True,Coral Street,residential,False,59.294,1,25 mph,,,,,,,,0.0027377875242770473,0.00011330592937464323,4.0,0.0013745635321073917,0.08490427860670395,"LINESTRING (489103.555687 4426021.140922, 489054.159058 4425988.247698)"
110165008,110164992,0,12152560,True,East Letterly Street,residential,False,129.643,1,25 mph,,,,,,,,0.0018686919367803144,0.00011350497120707746,4.0,0.0013837546953315385,0.05929037139140067,"LINESTRING (489103.555687 4426021.140922, 489100.574404 4426026.028759, 489092.523144 4426037.960637, 489031.308844 4426128.683193)"
110165022,110165008,0,12152560,True,East Letterly Street,residential,False,119.816,1,25 mph,,,,,,,,0.002164692854853918,0.0001130124652971907,3.5,0.0013794870568656177,0.06610458731360658,"LINESTRING (489170.522748 4425921.875639, 489167.557763 4425926.275068, 489103.555687 4426021.140922)"
110165022,110297406,0,629393314,True,Amber Street,residential,False,61.937000000000005,1,25 mph,,,,,,,,0.002316288045369002,0.00011293289792385882,3.5,0.0013239521117446333,0.04514433546996459,"LINESTRING (489170.522748 4425921.875639, 489215.73222 4425952.333761, 489221.936737 4425956.509305)"
110165050,110257393,0,385910218,False,Frankford Avenue,secondary,False,61.394,1,25 mph,,,,,,,,0.06276689139903091,0.0001136172828058813,5.5,0.0018042277633400648,0.15570036861506056,"LINESTRING (489216.018806 4425853.274632, 489178.637976 4425804.602994)"
110165050,110297413,0,385910218,False,Frankford Avenue,secondary,True,66.07900000000001,1,25 mph,,,,,,,,0.06350860059121083,0.00011373764756901307,5.5,0.0017500360659561645,0.15166112797913703,"LINESTRING (489216.018806 4425853.274632, 489250.544406 4425899.797277, 489255.377623 4425906.316676)"
110165064,110297432,0,12201186,True,Tulip Street,residential,False,62.651,,,,,,,,,,0.002288787148647623,0.00011141296227875792,4.0,0.0017419681726116656,0.08559323839370403,"LINESTRING (489373.052695 4425621.195435, 489424.92967 4425656.418061)"
110165064,109921764,0,661620228,True,East Letterly Street,residential,False,85.82,1,25 mph,,,,,,,,0.0013776844417892002,0.0001114325643736058,4.0,0.0017447721038659015,0.08132541536157893,"LINESTRING (489373.052695 4425621.195435, 489325.252144 4425692.406969)"
110165076,110257415,0,12200790,True,Memphis Street,residential,False,58.043,,,,,,,,,,0.0008669659692935635,0.00011059153270360457,4.0,0.0016179371955078645,0.08932777399251517,"LINESTRING (489422.899981 4425547.539587, 489374.868145 4425514.864385)"
110165076,110165064,0,661620228,True,East Letterly Street,residential,False,88.992,1,25 mph,,,,,,,,0.0014265535752935083,0.00011073575617519161,4.0,0.0016772700592888727,0.09080795195736929,"LINESTRING (489422.899981 4425547.539587, 489373.052695 4425621.195435)"
